district,year,dem_candidate,rep_candidate,actual_dem_pct,baseline_dem_pct,overperformance,pvi_cycles,baseline_ok,two_party_votes,incumbency,inc_signed,candidate_quality,local_trend,fin_log2_dr,d_receipts,r_receipts,is_midterm,finance_controlled,expected_from_factors,unexplained_residual
ld38,2020,EMILY WICKS,BERT JOHNSON,58.96,57.44,1.52,1,True,67381,D-INC,3.5,-2.0,0.0,3.82,121202.4,8562.64,0,True,2.94,-1.42
ld38,2022,JULIO CORTES,GARY KEMP,58.56,57.23,1.33,2,True,51579,OPEN,0,-2.0,0.0,1.3,122747.53,49741.53,1,True,1.0,0.33
ld38,2024,MARY FOSSE,MARNIE CLAYWELL,59.56,58.05,1.51,2,True,65836,D-INC,3.5,0.0,-0.49,2.82,110462.98,15611.78,0,True,2.91,-1.4
ld39,2018,IVAN LEWIS,ROBERT J. SUTHERLAND,43.4,40.75,2.65,1,True,58580,OPEN,0,0.0,0.0,1.05,47320.3,22862.66,1,True,1.71,0.94
ld39,2020,CLAUS JOENS,ROBERT J. SUTHERLAND,39.91,40.75,-0.84,1,True,81065,R-INC,-4.0,0.0,1.74,0.04,26533.62,25816.05,0,True,1.75,-2.59
ld39,2022,JESSICA WADHAMS,CAROLYN ESLICK,40.29,40.35,-0.06,2,True,64146,OPEN,0,0.0,-1.85,-1.69,29423.17,95016.31,1,True,-1.06,1.0
ld39,2024,JOHN SNOW,KEITH L. WAGONER,39.39,40.66,-1.27,2,True,81670,R-INC,-4.0,0.0,0.95,-2.89,14469.3,107285.0,0,True,-0.32,-0.95
ld40,2018,DEBRA LEKANOFF,MICHAEL PETRISH,67.11,66.71,0.4,1,True,70409,OPEN,0,0.0,0.0,1.63,171587.29,55612.91,1,True,2.01,-1.61
ld40,2020,ELIZABETH (LIZ) LOVELETT,CHARLES CARRELL,69.56,66.71,2.85,1,True,87509,D-INC,3.5,0.0,3.0,,,,0,False,5.14,-2.29
ld40,2022,DEBRA LEKANOFF,SHANNON PERKES,69.39,67.02,2.37,2,True,75508,D-INC,3.5,2.0,-1.26,6.47,133425.83,1500.0,1,True,5.01,-2.64
ld40,2024,ELIZABETH (LIZ) LOVELETT,CHARLES CARRELL,69.66,67.52,2.14,2,True,88944,D-INC,3.5,-2.0,0.24,,,,0,False,2.24,-0.1
ld41,2020,MY-LINH THAI,AL ROSENTHAL,66.66,50.0,16.66,0,False,83417,NONE,0,0.0,0.0,,95978.78,,0,,,
ld41,2022,MY-LINH T. THAI,AL ROSENTHAL,68.49,48.65,19.84,0,False,63528,D-INC,3.5,2.0,0.0,4.67,126131.9,4947.18,1,,,
